wrinvstg_no,fire_type_nm,buld_srtfrm,buld_strctr,buld_srtrf,buld_strct_dong_cnt,ground_nof,bstory_cnt,totar,bottom_area,buld_sttus_nm,dth_cnt,injpsn_cnt,dth_hnl_dmge_cnt,prprty_dmge_amt,fire_ocrn_yr,season_se_nm,qtr_se,fire_ocrn_ymd,fire_ocrn_tm,fire_ocrn_mnth,fire_ocrn_day,fire_ocrn_hour,fire_ocrn_min,daywk,frstt_nm,ward_nm,lfdau_nm,dsp_reqre_time,fire_supesn_time,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,longitude,la,spt_frstt_dist,spt_safe_cnter_dist,spt_lfdau_dist,ign_htsrc_nm,ign_htsrc_sclas_nm,ign_fctr_lclas_nm,ign_fctr_sclas_nm,frst_igobj_lclas_nm,frst_igobj_sclas_nm,ign_mhrls_lclas_nm,ign_mhrls_sclas_nm,cmbs_expobj_lclas_nm,cmbs_expobj_sclas_nm,fclty_place_lclas_nm,fclty_place_mclas_nm,fclty_place_sclas_nm,ign_floor_nm,soot_area,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,vhcle_place,vhcle_ign_bhf,fld_fire_se,fld_fire_ign_bhf,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,time_unit
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,299,40,사용중,0,0,0,162,2017,겨울,1,20170202,184100,2,2,18,41,목요일,송파소방서,거여119안전센터,거여119안전센터,157,0,서울특별시,송파구,마천동,도시,동,127.1530027,37.4936011,1,1,0,작동기기,기기 전도/복사열,부주의,불씨/불꽃/화원방치,침구/직물류,기타(침구/직물류),계절용 기기,전기장판/담요/방석류,,,주거,공동주택,다세대주택,4,0,N,N,N,,,,,,1.2,,2.3,250,65,,1612
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,457,90,사용중,0,0,0,130,2017,겨울,1,20170206,130200,2,6,13,2,월요일,송파소방서,종합운동장119안전센터,종합운동장119안전센터,402,0,서울특별시,송파구,잠실동,도시,동,127.0844233,37.5088282,7,2,0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이,,,종이/목재/건초등,종이,주거,공동주택,다세대주택,1,0,N,N,N,,,,,,0.1,,3.5,290,40,,1535
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,250,22,사용중,0,0,0,624,2017,겨울,1,20170208,153400,2,8,15,34,수요일,송파소방서,마천119안전센터,마천119안전센터,438,1700,서울특별시,송파구,문정동,도시,동,127.1251246,37.4841869,3,3,0,작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,합성수지,아크릴수지,조명/ 간판,기타(조명/간판),종이/목재/건초등,종이,주거,공동주택,다세대주택,-1,10,N,N,N,,,,,,0.2,,3.3,250,34,,1564
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,486,99,사용중,0,0,0,262,2017,겨울,1,20170209,32800,2,9,3,28,목요일,송파소방서,마천119안전센터,마천119안전센터,505,300,서울특별시,송파구,가락동,도시,동,127.1251078,37.4936221,3,3,0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이,,,,,주거,단독주택,다가구주택(원룸포함),1,3,N,N,N,,,,,,-4.6,,3,270,60,,1591
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,1342,271,사용중,0,0,0,19,2017,겨울,1,20170212,152400,2,12,15,24,일요일,송파소방서,마천119안전센터,마천119안전센터,315,200,서울특별시,송파구,오금동,도시,동,127.1396795,37.4983202,1,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,주방기기,가스렌지,,,주거,공동주택,다세대주택,1,0,N,N,N,,,,,,3.6,,4.3,250,33,,1996
1.70E+14,건축/구조물,양식(옥),벽돌조,슬라브가,1,3,1,254,74,사용중,0,0,0,17191,2017,겨울,1,20170213,85600,2,13,8,56,월요일,송파소방서,방이119안전센터,방이119안전센터,256,1105,서울특별시,송파구,풍납동,도시,동,127.1184691,37.5358819,6,3,0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,합성수지,플라스틱/ PVC/ 비닐/ 장판,배선/배선기구,전기기기용 전선/코드,종이/목재/건초등,목재/ 합판,주거,공동주택,다세대주택,3,80,N,N,N,,,,,,-5.3,,0.8,360,64,,1993
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,307,39,사용중,0,0,0,22,2017,겨울,1,20170214,221200,2,14,22,12,화요일,송파소방서,방이119안전센터,방이119안전센터,440,0,서울특별시,송파구,방이동,도시,동,127.1171538,37.5109168,4,3,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,-0.9,,1.1,290,61,,1884
1.70E+14,건축/구조물,양식(옥),블록조,시멘트기와,1,1,0,40,40,기타 공사중,0,0,0,25,2017,겨울,1,20170217,205500,2,17,20,55,금요일,송파소방서,거여119안전센터,거여119안전센터,301,145,서울특별시,송파구,마천동,도시,동,127.1496602,37.4978815,2,1,0,담뱃불/ 라이터불,담뱃불,부주의,기타(부주의),침구/직물류,의류,,,,,주거,단독주택,단독주택,1,0,N,N,N,,,,,,-2,,4.1,270,50,,2000
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,397,44,사용중,0,0,0,214,2017,겨울,1,20170219,141000,2,19,14,10,일요일,송파소방서,방이119안전센터,방이119안전센터,545,0,서울특별시,송파구,방이동,도시,동,127.120297,37.5116776,3,2,0,작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,합성수지,플라스틱/ PVC/ 비닐/ 장판,배선/배선기구,전기기기용 전선/코드,,,주거,공동주택,다세대주택,-1,5,N,N,N,,,,,,4.3,,2.8,160,36,,1953
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,599,115,사용중,0,0,0,460,2017,겨울,1,20170221,201300,2,21,20,13,화요일,송파소방서,마천119안전센터,마천119안전센터,446,123,서울특별시,송파구,가락동,도시,동,127.1260576,37.4961655,3,3,0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,공동주택,기타 공동주택,1,3,N,N,N,,,,,,1.5,,1.2,290,41,,1486
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,686,134,사용중,0,0,0,30,2017,겨울,1,20170222,202100,2,22,20,21,수요일,송파소방서,방이119안전센터,방이119안전센터,336,1004,서울특별시,송파구,풍납동,도시,동,127.1182147,37.5355178,6,3,0,작동기기,기타(작동기기),부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,기타 공동주택,1,0,N,N,N,,,,,,1.5,,1.7,290,93,,222
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,418,55,사용중,0,0,0,33,2017,겨울,1,20170223,125400,2,23,12,54,목요일,송파소방서,잠실119안전센터,잠실119안전센터,317,2000,서울특별시,송파구,삼전동,도시,동,127.0964203,37.500836,6,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,다가구주택(원룸포함),1,0,N,N,N,,,,,,0.7,,4.4,270,41,,1963
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,431,16,사용중,0,0,0,22,2017,봄,1,20170306,24500,3,6,2,45,월요일,송파소방서,잠실119안전센터,잠실119안전센터,326,0,서울특별시,송파구,송파동,도시,동,127.1105185,37.5097266,4,2,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,0.7,,2.8,270,58,,1071
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,474,67,사용중,1,1,2,5995,2017,봄,1,20170322,73100,3,22,7,31,수요일,송파소방서,방이119안전센터,방이119안전센터,224,940,서울특별시,송파구,풍납동,도시,동,127.1213195,37.5337821,6,3,0,담뱃불/ 라이터불,라이터불/ 성냥불,방화,방화,침구/직물류,의류,,,,,주거,단독주택,다가구주택(원룸포함),2,50,N,N,N,,,,,,1.9,,1.3,270,52,,1615
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,555,93,사용중,0,0,0,8,2017,봄,1,20170322,232800,3,22,23,28,수요일,송파소방서,가락119안전센터,가락119안전센터,354,0,서울특별시,송파구,가락동,도시,동,127.1192704,37.4957828,3,3,0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,단독주택,다가구주택(원룸포함),2,0,N,N,N,,,,,,7.1,,1,270,32,,1949
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,7,0,861,29,신축,0,0,0,90,2017,봄,2,20170407,162500,4,7,16,25,금요일,송파소방서,거여119안전센터,거여119안전센터,325,556,서울특별시,송파구,마천동,도시,동,127.1481462,37.5007905,1,1,0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,합성수지,스티로폼,,,,,주거,공동주택,다세대주택,3,0,N,N,N,,,,,,23,,2.5,200,40,,921
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,7,1,500,100,신축,0,0,0,123,2017,봄,2,20170414,81000,4,14,8,10,금요일,송파소방서,마천119안전센터,마천119안전센터,607,200,서울특별시,송파구,문정동,도시,동,127.1270508,37.4835926,3,2,0,불꽃/ 불티,용접/ 절단/ 연마,부주의,용접/ 절단/ 연마,침구/직물류,의류,,,,,주거,공동주택,다세대주택,5,0,N,N,N,,,,,,13.4,,3.2,200,29,,2000
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,456,36,사용중,0,0,0,20,2017,봄,2,20170416,100800,4,16,10,8,일요일,송파소방서,종합운동장119안전센터,종합운동장119안전센터,138,0,서울특별시,송파구,잠실동,도시,동,127.0881599,37.5073354,5,2,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,19.9,,1.1,70,51,,750
1.70E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,6,0,416,61,사용중,0,0,0,22,2017,봄,2,20170421,91200,4,21,9,12,금요일,송파소방서,종합운동장119안전센터,종합운동장119안전센터,436,0,서울특별시,송파구,잠실동,도시,동,127.0819231,37.5082454,7,3,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,3,0,N,N,N,,,,,,12.7,,0.9,250,52,,1566
1.71E+14,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,348,30,사용중,0,0,0,22,2017,봄,2,20170503,214100,5,3,21,41,수요일,송파소방서,거여119안전센터,거여119안전센터,236,600,서울특별시,송파구,마천동,도시,동,127.1565879,37.4958836,2,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,-1,0,N,N,N,,,,,,20.2,,2.8,270,33,,1945
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,488,114,사용중,0,0,0,203,2017,봄,2,20170509,182300,5,9,18,23,화요일,송파소방서,거여119안전센터,거여119안전센터,125,0,서울특별시,송파구,마천동,도시,동,127.1518039,37.4948662,1,1,0,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,전선피복,전기설비,기타(전기설비),,,주거,공동주택,다세대주택,1,0,N,N,N,,,,,,16.7,1,0.7,340,88,,577
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,659,190,사용중,0,0,0,809,2017,봄,2,20170514,20000,5,14,2,0,일요일,송파소방서,잠실119안전센터,잠실119안전센터,300,1000,서울특별시,송파구,삼전동,도시,동,127.0945924,37.5004299,3,2,0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전선피복,배선/배선기구,옥내배선용 전선,,,주거,공동주택,다세대주택,4,3,N,N,N,,,,,,12.1,,3.2,230,85,,679
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,6,0,404,43,사용중,0,0,0,18,2017,봄,2,20170520,142500,5,20,14,25,토요일,송파소방서,잠실119안전센터,잠실119안전센터,303,328,서울특별시,송파구,석촌동,도시,동,127.1027655,37.5059662,4,1,0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전기/ 전자기기 케이스,배선/배선기구,스위치 멀티탭,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,26.8,,3.7,250,34,,1923
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,412,122,사용중,0,0,0,933,2017,봄,2,20170523,100500,5,23,10,5,화요일,송파소방서,방이119안전센터,방이119안전센터,417,1002,서울특별시,송파구,방이동,도시,동,127.1119152,37.5151674,4,4,0,불꽃/ 불티,기타(불꽃/불티),부주의,불씨/불꽃/화원방치,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,다세대주택,2,5,N,N,N,,,,,,22.8,,3,180,53,,1838
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,516,107,사용중,0,0,0,544,2017,봄,2,20170523,104200,5,23,10,42,화요일,송파소방서,잠실119안전센터,잠실119안전센터,439,400,서울특별시,송파구,송파동,도시,동,127.1132262,37.5041249,4,3,0,작동기기,전기적 아크(단락),전기적 요인,누전/지락,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,주거,공동주택,다세대주택,1,0,N,N,N,,,,,,22.8,,3,180,53,,1838
1.71E+14,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,292,15,사용중,0,0,0,33,2017,봄,2,20170529,10000,5,29,1,0,월요일,송파소방서,방이119안전센터,방이119안전센터,336,0,서울특별시,송파구,방이동,도시,동,127.1154012,37.5103641,4,3,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,다가구주택(원룸포함),-1,0,N,N,N,,,,,,19,,2.2,230,78,,759
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,144,30,사용중,0,0,0,1407,2017,여름,2,20170602,121500,6,2,12,15,금요일,송파소방서,거여119안전센터,거여119안전센터,401,42,서울특별시,송파구,거여동,도시,동,127.1430373,37.4929125,1,2,0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,합성수지,플라스틱/ PVC/ 비닐/ 장판,배선/배선기구,옥내배선용 전선,,,주거,단독주택,단독주택,2,30,N,N,N,,,,,,23.6,,3.5,270,27,,2000
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,602,80,사용중,0,1,1,466,2017,여름,2,20170605,73200,6,5,7,32,월요일,송파소방서,거여119안전센터,거여119안전센터,230,155,서울특별시,송파구,거여동,도시,동,127.1434876,37.4916796,1,1,0,작동기기,전기적 아크(단락),전기적 요인,압착/손상에 의한 단락,전기/전자,전선피복,계절용 기기,가정용 보일러,,,주거,공동주택,다세대주택,3,10,N,N,N,,,,,,18.3,,1.7,50,44,,2000
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,627,67,사용중,0,0,0,45,2017,여름,2,20170607,63900,6,7,6,39,수요일,송파소방서,마천119안전센터,마천119안전센터,551,1923,서울특별시,송파구,가락동,도시,동,127.134628,37.4948106,1,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,연립주택,3,0,N,N,N,,,,,,16.7,1.5,1.4,50,100,,171
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,778,149,사용중,0,0,0,335,2017,여름,2,20170607,202000,6,7,20,20,수요일,송파소방서,종합운동장119안전센터,종합운동장119안전센터,455,702,서울특별시,송파구,잠실동,도시,동,127.084916,37.510464,8,3,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),3,0,N,N,N,,,,,,18,,2.9,270,80,,1931
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,325,50,사용중,0,0,0,45,2017,여름,2,20170608,231500,6,8,23,15,목요일,송파소방서,마천119안전센터,마천119안전센터,410,0,서울특별시,송파구,문정동,도시,동,127.1348948,37.489013,2,2,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,주방기기,가스렌지,,,주거,공동주택,연립주택,-1,0,N,N,N,,,,,,19.3,,2,180,69,,574
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,2,1,329,55,사용중,0,0,0,33,2017,여름,2,20170614,111400,6,14,11,14,수요일,송파소방서,마천119안전센터,마천119안전센터,249,400,서울특별시,송파구,오금동,도시,동,127.1356909,37.5037095,1,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,다가구주택(원룸포함),-1,0,N,N,N,,,,,,23.7,,2.3,270,55,,1263
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,553,57,사용중,0,0,0,8373,2017,여름,2,20170618,185200,6,18,18,52,일요일,송파소방서,방이119안전센터,방이119안전센터,423,1200,서울특별시,송파구,방이동,도시,동,127.1115746,37.5139223,4,2,0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전선피복,주방기기,김치냉장고,,,주거,공동주택,다세대주택,-1,47,N,N,N,,,,,,28,,4.3,270,33,,2000
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,7,1,1804,86,사용중,0,0,0,45,2017,여름,2,20170623,224700,6,23,22,47,금요일,송파소방서,가락119안전센터,가락119안전센터,404,1131,서울특별시,송파구,가락동,도시,동,127.12569,37.5005633,2,2,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,연립주택,5,0,N,N,N,,,,,,25.1,,1.5,200,53,,2000
1.71E+14,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,206,76,사용중,0,0,0,47,2017,여름,2,20170630,155600,6,30,15,56,금요일,송파소방서,방이119안전센터,방이119안전센터,509,100,서울특별시,송파구,풍납동,도시,동,127.1180858,37.5380351,7,4,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,단독주택,-1,0,N,N,N,,,,,,30.7,,3.7,230,45,,1070
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,582,29,사용중,0,0,0,33,2017,여름,3,20170703,213700,7,3,21,37,월요일,송파소방서,종합운동장119안전센터,종합운동장119안전센터,338,0,서울특별시,송파구,잠실동,도시,동,127.0844268,37.5081869,7,3,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,24.6,,3.1,230,85,,563
1.71E+14,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,195,31,사용중,0,0,0,33,2017,여름,3,20170704,111500,7,4,11,15,화요일,송파소방서,거여119안전센터,거여119안전센터,222,0,서울특별시,송파구,마천동,도시,동,127.1495991,37.4985385,2,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,단독주택,1,0,N,N,N,,,,,,28,,1.9,290,64,,916
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,585,119,사용중,0,0,0,36,2017,여름,3,20170705,1200,7,5,0,12,수요일,송파소방서,마천119안전센터,마천119안전센터,528,100,서울특별시,송파구,가락동,도시,동,127.1252328,37.4938827,2,2,0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,전기/전자,전선피복,,,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,24.1,,1.4,270,81,,912
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,4,1,507,50,사용중,0,0,0,63,2017,여름,3,20170720,72700,7,20,7,27,목요일,송파소방서,잠실119안전센터,잠실119안전센터,705,100,서울특별시,송파구,송파동,도시,동,,,5,2,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,2,0,N,N,N,,,,,,26.2,,1.4,270,73,,648
1.71E+14,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,0,513,72,사용중,0,0,0,27,2017,여름,3,20170725,125600,7,25,12,56,화요일,송파소방서,가락119안전센터,가락119안전센터,443,959,서울특별시,송파구,가락동,도시,동,127.1247297,37.503361,2,1,0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,연립주택,3,0,N,N,N,,,,,,32,,2.2,50,54,,1963
